index;x;y;z
519;0.038132;-0.598694;-0.544876
520;0.054794;-0.715714;-0.694061
521;0.026291;-0.753128;-0.795120
522;0.051056;-0.765045;-0.816650
523;0.075363;-0.769547;-0.999176
524;0.082916;-0.802032;-0.891846
525;0.074219;-0.735703;-0.996979
526;-0.030548;-0.595840;-1.153809
527;0.028152;-0.538956;-1.014069
528;0.058884;-0.510315;-0.880890
529;0.005035;-0.464752;-0.844803
530;0.020782;-0.403931;-0.815170
531;0.107910;-0.461472;-0.547684
532;0.093292;-0.577759;-0.482773
533;-0.025452;-0.539871;-0.816681
534;-0.056824;-0.528488;-0.798676
535;0.037369;-0.620117;-0.608856
536;0.076874;-0.647583;-0.542389
537;0.053711;-0.682297;-0.721222
538;-0.033844;-0.704926;-0.903336
539;-0.124237;-0.697372;-0.922653
540;-0.099884;-0.702667;-0.857758
541;-0.061951;-0.671677;-0.898926
542;-0.134415;-0.572372;-1.029541
543;-0.161499;-0.488129;-0.925400
544;-0.101028;-0.517548;-0.678757
545;-0.121094;-0.547760;-0.705688
546;-0.142700;-0.527771;-0.693802
547;-0.102386;-0.569244;-0.615738
548;-0.049103;-0.574615;-0.615875
549;-0.015762;-0.560135;-0.647354
550;0.054901;-0.614761;-0.613068
551;0.067825;-0.658798;-0.685287
552;0.025681;-0.650269;-0.780106
553;0.017792;-0.689270;-0.819641
554;0.023315;-0.667511;-0.832886
555;-0.103760;-0.427689;-0.771591
556;0.094284;-0.692474;-0.821991
557;0.177017;-0.621964;-0.962204
558;0.135162;-0.442261;-1.031097
559;0.028152;-0.447708;-1.028992
560;0.087234;-0.279205;-0.856888
561;-0.020996;-0.218903;-0.856903
562;0.106659;-0.267883;-1.010101
563;0.152939;-0.348419;-0.899643
564;0.086731;-0.170181;-0.991104
565;0.119568;-0.366669;-1.067200
566;0.082397;-0.383484;-1.012527
567;0.074768;-0.396835;-0.884384
568;0.173248;-0.488602;-0.915268
569;0.191574;-0.535233;-1.029953
570;0.002563;-0.353699;-1.070541
571;-0.055191;-0.338928;-1.141510
572;-0.102463;-0.273651;-1.050674
573;0.028961;-0.294739;-1.047546
574;0.258362;-0.364456;-1.091522
575;0.085510;-0.273590;-0.906586
576;0.069931;-0.328140;-0.824448
577;0.180023;-0.392136;-0.857147
578;0.103348;-0.322845;-0.851791
579;0.013153;-0.310562;-0.783463
580;0.092072;-0.300919;-0.766449
581;0.063461;-0.332474;-0.792496
582;0.079590;-0.400497;-0.772568
583;0.181946;-0.489426;-0.854782
584;0.150848;-0.489258;-0.928940
585;0.041901;-0.450089;-0.968323
586;-0.023575;-0.401794;-0.982727
587;0.046082;-0.393677;-0.926468
588;0.018127;-0.352585;-0.869949
589;0.110107;-0.511444;-1.008621
590;0.220551;-0.430649;-1.060471
591;0.084534;-0.355453;-0.967667
592;-0.023575;-0.374084;-0.969467
593;0.044769;-0.317764;-0.802460
594;0.031479;-0.358658;-0.704025
595;-0.027405;-0.522507;-0.832748
596;0.121780;-0.525467;-1.048462
597;-0.047607;-0.369904;-0.982224
598;-0.145432;-0.278076;-0.805038
599;-0.002960;-0.407303;-0.808777
600;0.037277;-0.461349;-0.874451
601;-0.076187;-0.438416;-1.005005
602;-0.197800;-0.378967;-1.120789
603;-0.242874;-0.332993;-1.107925
604;-0.172241;-0.406021;-1.116348
605;0.004944;-0.488708;-1.179611
606;-0.021744;-0.305603;-1.106216
607;-0.099823;-0.189926;-0.881287
608;0.004150;-0.325607;-0.857422
609;0.086365;-0.340652;-0.783081
610;0.045685;-0.295013;-0.729828
611;0.019547;-0.223328;-0.643738
612;0.020020;-0.179382;-0.632690
613;0.108124;-0.209061;-0.691147
614;0.149567;-0.341766;-0.762711
615;0.151871;-0.337891;-0.893936
616;0.135529;-0.366409;-1.084152
617;0.103271;-0.371735;-1.188782
618;-0.000565;-0.404861;-1.174194
619;-0.053406;-0.358902;-1.130310
620;0.031555;-0.360641;-1.100433
621;0.061172;-0.396759;-1.174728
622;0.056854;-0.306320;-1.132370
623;0.050873;-0.270767;-0.960770
624;0.093384;-0.364838;-0.937073
625;0.050583;-0.344894;-0.775620
626;0.074661;-0.346588;-0.637421
627;0.116119;-0.577042;-0.752975
628;0.125168;-0.459564;-0.874771
629;0.043793;-0.415558;-0.732025
630;0.065720;-0.497055;-0.704376
631;0.078278;-0.546417;-0.826920
632;-0.045975;-0.577576;-0.986343
633;-0.107468;-0.539688;-1.133881
634;-0.111649;-0.510895;-1.080154
635;-0.107620;-0.493637;-1.011627
636;-0.067505;-0.431381;-1.020172
637;0.053146;-0.444946;-1.071060
638;0.020981;-0.289093;-0.983551
639;0.018341;-0.267944;-0.820740
640;0.156784;-0.358398;-0.821060
641;0.185959;-0.285492;-0.780792
642;0.101044;-0.241226;-0.719131
643;0.098129;-0.255478;-0.659592
644;0.120621;-0.282837;-0.629913
645;0.134445;-0.314072;-0.654846
646;0.078552;-0.377975;-0.756180
647;0.108032;-0.409439;-0.833527
648;0.068237;-0.474579;-0.995331
649;0.028763;-0.453262;-1.067551
650;0.050735;-0.488892;-1.106796
651;0.083054;-0.471878;-1.290161
652;0.256714;-0.504761;-1.518143
653;0.343857;-0.383667;-1.492340
654;0.276688;-0.395279;-1.287903
655;0.226425;-0.333771;-1.040421
